1,28.392,8,1,0.72544
2,26.583,8,2,0.71019
3,21.943,8,2,3.4133
4,24.987,8,1,0.68656
5,18.217,8,2,1.4941
6,22.078,8,2,1.0105
7,22.094,8,2,3.6115
8,29.805,8,2,1.0061
9,26.457,8,4,1.2305
10,27.411,8,2,1.556
11,23.155,8,3,1.8303
12,20.76,8,4,0.85419
13,25.804,8,3,3.0226
14,19.162,8,2,0.94575
15,23.702,8,3,0.80919
16,26.863,8,1,0.86294
17,22.358,8,3,0.91276
18,26.669,8,2,3.2322
19,24.521,8,2,2.7681
20,18.18,8,2,1.4685
21,17.036,8,2,1.546
22,22.675,8,2,1.119
23,29.65,8,2,0.97256
24,21.442,8,1,2.3094
25,19.553,8,2,0.98901
26,22.296,8,1,0.67616
27,26.654,8,2,2.1199
28,15.459,8,5,1.1972
29,24.857,8,2,0.79881
30,24.923,8,2,2.7247
