1,1.4274,104,4,13.866
2,1.2512,104,4,10.19
3,1.2199,104,4,9.8444
4,1.4912,104,3,14.147
5,1.3366,104,3,10.769
6,1.4226,104,3,4.4263
7,1.4299,104,4,16.112
8,1.4641,104,3,21.065
9,2.7005,104,3,5.9205
10,1.3313,104,4,6.5792
11,1.4845,104,4,19.867
12,1.4635,104,3,18.781
13,1.477,104,3,4.2304
14,1.4138,104,3,19.822
15,1.3149,104,4,18.341
16,1.2421,104,4,9.9862
17,1.4274,104,3,26.717
18,1.4933,104,4,17.503
19,1.2413,104,5,19.636
20,1.4139,104,3,11.498
21,1.4702,104,3,6.0782
22,1.4196,104,3,10.572
23,1.3691,104,5,22.532
24,1.4158,104,3,11.502
25,1.3878,104,3,13.846
26,1.3957,104,3,12.086
27,2.0074,104,4,9.2404
28,1.4263,104,3,8.4734
29,1.2943,104,4,5.1492
30,1.4235,104,3,56.149
