1,18.202,620,2,20.081
2,17.707,492,13,289.01
3,9.4453,370,4,92.478
4,13.095,368,21,98.938
5,11.634,370,7,45.758
6,10.573,369,5,40.306
7,13.138,367,11,52.778
8,12.33,372,8,44.966
9,11.02,368,11,48.812
10,11.421,370,6,44.479
11,10.914,368,12,59.071
12,13.362,368,14,43.576
13,12.315,371,6,52.049
14,11.965,369,14,81.263
15,11.536,368,10,47.113
16,12.355,371,20,56.052
17,14.368,368,10,50.443
18,13.628,367,21,55.204
19,13.426,368,12,74.983
20,14.499,370,16,79.501
21,12.086,369,9,58.2
22,10.45,369,20,62.762
23,12.399,369,10,49.449
24,14.194,370,6,49.542
25,12.362,369,17,58.16
26,11.616,371,6,42.24
27,12.973,369,9,45.693
28,12.949,369,23,85.395
29,12.117,367,10,55.602
30,11.236,368,8,47.067
