1,1.5185,52,2,7.7809
2,1.7536,52,2,15.132
3,1.8531,52,2,14.266
4,1.9186,52,2,7.0048
5,1.5736,52,2,6.8022
6,1.9316,52,2,33.063
7,1.5391,52,2,33.307
8,1.7378,52,2,24.535
9,1.7965,52,2,20.456
10,2.9544,52,3,11.378
11,2.4789,52,2,2.8992
12,1.7914,52,2,0.87713
13,1.8063,52,2,21.821
14,1.9678,52,2,9.6221
15,1.7228,52,2,9.658
16,1.8213,52,2,23.548
17,1.7932,52,2,28.469
18,1.8477,52,2,7.876
19,1.8214,52,2,24.2
20,1.8796,52,2,6.7731
21,1.7871,52,2,41.93
22,1.8035,52,2,4.5705
23,1.7775,52,2,17.204
24,1.999,52,2,0.78015
25,2.031,52,2,5.4657
26,1.7114,52,2,0.81448
27,1.6049,52,2,7.5715
28,1.8578,52,2,16.218
29,1.8126,52,2,25.141
30,1.5612,52,2,11.261
