1,1.9842,72,5,89.155
2,3.0109,72,17,97.429
3,2.3593,72,8,35.76
4,4.7198,72,6,46.573
5,3.8281,72,6,23.273
6,2.8514,72,4,13.973
7,4.8964,72,6,59.066
8,2.7914,72,7,44.666
9,3.7724,72,6,71.665
10,1.9618,72,12,13.989
11,3.1965,72,21,98.975
12,3.856,72,5,7.966
13,3.0026,72,6,49.065
14,2.398,72,18,14.928
15,3.4566,72,8,144.59
16,2.9528,72,15,18.955
17,3.6635,72,40,82.793
18,3.1694,72,5,25.6
19,2.8321,72,9,27.159
20,1.3119,72,7,47.879
21,2.7207,72,4,100.25
22,3.7983,72,7,36.496
23,3.319,72,6,30.389
24,2.1139,72,6,90.534
25,4.8866,72,3,23.539
26,3.2466,72,17,22.254
27,3.3201,72,10,54.679
28,3.1692,72,5,131.91
29,3.3946,72,7,67.047
30,2.8286,72,4,40.43
