1,11.389,72,4,18.092
2,11.032,72,1,17.911
3,11.453,72,1,36.278
4,10.654,72,2,6.5131
5,10.979,72,1,10.117
6,11.267,72,1,28.158
7,11.831,72,1,39.36
8,11.606,72,2,31.535
9,11.682,72,1,12.038
10,11.603,72,1,24.379
11,11.785,72,1,17.455
12,11.212,72,1,13.546
13,11.783,72,2,77.278
14,11.346,72,1,8.8144
15,11.284,72,1,4.5948
16,11.242,72,1,53.088
17,11.374,72,1,24.146
18,11.68,72,1,10.793
19,10.95,72,1,33.549
20,11.616,72,1,30.528
21,11.502,72,1,19.53
22,11.561,72,1,8.1373
23,11.61,72,2,11.735
24,11.592,72,1,8.2196
25,11.373,72,1,44.08
26,11.674,72,1,10.043
27,11.923,72,1,30.79
28,11.354,72,1,55.298
29,11.738,72,1,28.827
30,10.963,72,1,24.049
