1,1.7409,80,2,29.051
2,1.3468,80,3,28.978
3,1.4716,80,3,19.753
4,1.7635,80,2,68.772
5,1.781,80,2,73.976
6,1.7055,80,3,13.684
7,1.468,80,2,37.627
8,1.5677,80,3,8.5446
9,1.4918,80,2,17.808
10,1.5619,80,2,69.7
11,1.3651,80,3,65.926
12,1.3581,80,3,26.054
13,1.6514,80,2,24.125
14,1.4642,80,2,92.236
15,1.315,80,3,48.444
16,1.6437,80,2,48.846
17,1.5287,80,3,56.654
18,2.0317,80,2,25.311
19,1.6471,80,2,9.2915
20,1.6532,80,3,46.282
21,1.8057,80,2,5.7064
22,1.6314,80,3,108.85
23,1.4753,80,3,18.456
24,1.8423,80,2,8.1038
25,1.6759,80,2,4.1274
26,1.4115,80,3,4.2876
27,1.2851,80,3,3.1688
28,1.594,80,2,173.72
29,1.3853,80,3,20.708
30,1.4024,80,3,52.198
