1,20.275,1180,2,91.58
2,65.31,1180,1,38.636
3,50.344,1180,1,43.331
4,64.778,1180,3,42.419
5,72.754,1180,1,53.442
6,46.155,1180,1,57.11
7,60.491,1180,1,44.827
8,51.306,1180,1,41.087
9,43.418,1180,2,49.599
10,61.738,1180,1,56.396
11,56.857,1180,1,50.198
12,58.128,1180,1,44.395
13,48.233,1180,4,82.772
14,67.142,1180,1,44.605
15,56.523,1180,1,49.978
16,51.742,1180,4,45.602
17,44.259,1180,2,55.674
18,41.796,1180,2,60.178
19,48.175,1180,1,49.061
20,42.171,1180,2,65.213
21,61.594,1180,1,53.149
22,65.613,1180,1,46.118
23,69.518,1180,1,51.912
24,63.984,1180,2,55.84
25,69.354,1180,1,49.03
26,48.903,1180,1,58.265
27,53.001,1180,2,76.914
28,41.668,1180,2,53.084
29,92.836,1180,5,35.076
30,63.589,1180,1,41.425
