1,2.6262,40,2,15.417
2,2.575,40,3,11.261
3,2.8383,40,2,32.505
4,2.337,40,13,28.251
5,2.5261,40,3,27.176
6,2.3812,40,2,19.258
7,1.9952,40,12,84.444
8,2.7539,40,2,18.177
9,2.4386,40,2,10.006
10,2.6791,40,2,24.329
11,2.789,40,3,16.925
12,2.5889,40,4,117.49
13,2.484,40,2,19.948
14,2.8345,40,6,16.223
15,2.7528,40,2,13.905
16,2.8461,40,3,20.2
17,2.2558,40,18,200.56
18,2.7432,40,3,10.656
19,2.3164,40,3,36.319
20,2.2378,40,4,15.923
21,2.6379,40,3,18.407
22,2.3584,40,2,14.177
23,2.3607,40,3,88.032
24,2.5189,40,3,61.839
25,2.743,40,3,9.9518
26,2.4652,40,2,39.662
27,2.3054,40,3,17.38
28,1.8186,40,3,15.052
29,2.6297,40,4,28.61
30,2.1869,40,3,17.906
