1,3.4339,144,5,61.837
2,3.0852,144,4,19.504
3,3.1691,144,4,26.061
4,3.1058,144,4,52.369
5,3.1435,144,4,64.535
6,3.2418,144,4,124.84
7,3.1487,144,7,39.147
8,3.3159,144,4,50.073
9,3.3506,144,5,105.12
10,3.3805,144,4,45.476
11,3.3445,144,8,72.601
12,3.3608,144,5,43.383
13,3.2843,144,6,12.915
14,3.4495,144,5,42.281
15,3.1187,144,5,47.22
16,3.1852,144,4,22.907
17,3.286,144,5,35.075
18,3.5563,144,4,76.562
19,3.1949,144,5,38.779
20,3.2574,144,4,10.032
21,3.2811,144,5,55.582
22,3.5,144,4,41.718
23,3.3504,144,5,79.185
24,3.3517,144,5,19.701
25,3.1799,144,4,25.038
26,3.3708,144,5,17.746
27,3.1231,144,4,9.3847
28,3.3448,144,6,85.053
29,3.3186,144,4,43.384
30,3.322,144,4,39.393
