1,2.7831,64,2,12.259
2,2.8301,64,2,45.909
3,1.8046,52,4,60.051
4,1.4064,52,4,11.139
5,2.0777,52,6,19.783
6,2.0489,52,8,10.748
7,2.0608,52,5,81.172
8,1.9318,52,3,24.37
9,2.0124,52,3,45.395
10,1.8314,52,7,62.906
11,1.7144,52,4,101.41
12,1.568,52,4,22.475
13,1.523,52,4,4.9113
14,1.9125,52,3,7.148
15,1.7375,52,3,8.0553
16,1.6666,52,4,23.476
17,1.9779,52,5,26.455
18,1.6804,52,3,21.469
19,1.6656,52,7,26.465
20,2.0587,52,6,58.726
21,2.0438,52,3,26.959
22,1.9479,52,6,14.191
23,2.1971,52,5,13.187
24,1.6925,52,3,22.004
25,1.8689,52,3,90.297
26,2.0207,52,6,14.373
27,1.7559,52,3,42.447
28,1.6173,52,5,38.481
29,1.9088,52,3,92.979
30,2.1347,52,16,26.369
